parameter,mu_star,mu,sigma
num_agents,0.3304195804195804,-0.013636363636363636,0.695931096929163
old_theory_payoff,0.30734265734265737,-0.0493006993006993,0.670062761337444
new_theory_payoff_old_true,0.3157342657342657,-0.0073426573426573424,0.6834620542651771
new_theory_payoff_new_true,0.3010489510489511,0.015734265734265736,0.6658017738903491
belief_strength_min,0.26433566433566436,0.008391608391608392,0.6199865029135964
belief_strength_max,0.2748251748251748,-0.01888111888111888,0.6323393773033454
h_index_min,0.31363636363636366,-0.001048951048951049,0.6718757067996667
h_index_max,0.279020979020979,0.002097902097902098,0.6388143923995245
