parameter,mu_star,mu,sigma
num_agents,0.25804195804195806,-0.06293706293706294,0.603929513584089
old_theory_payoff,0.320979020979021,0.044055944055944055,0.6803435013131546
new_theory_payoff_old_true,0.3,-0.004195804195804196,0.655842533992825
new_theory_payoff_new_true,0.33146853146853145,-0.01048951048951049,0.6908732028765012
belief_strength_min,0.2937062937062937,0.033566433566433566,0.6465209691708398
belief_strength_max,0.27797202797202797,-0.03041958041958042,0.6325118593964323
h_index_min,0.34615384615384615,0.01048951048951049,0.7088835352062052
h_index_max,0.31258741258741257,0.04825174825174825,0.6719003055272921
