parameter,mu_star,mu,sigma
num_agents,61.53881118881119,3.7395104895104896,208.74533632164022
old_theory_payoff,66.07132867132867,-3.3629370629370627,215.77481654156543
new_theory_payoff_old_true,50.27097902097902,0.4143356643356643,187.98716288924558
new_theory_payoff_new_true,62.15769230769231,-1.1444055944055944,209.87315773010454
belief_strength_min,59.71258741258741,-20.57202797202797,204.68458104574043
belief_strength_max,62.923426573426575,14.453496503496503,211.35474137914025
h_index_min,70.96573426573427,-4.476923076923077,224.9882127918726
h_index_max,64.0972027972028,4.374125874125874,212.71672313567754
