parameter,mu_star,mu,sigma
num_agents,0.2423076923076923,-0.043006993006993004,0.5945186539739677
old_theory_payoff,0.36083916083916084,0.106993006993007,0.7229627369364563
new_theory_payoff_old_true,0.29265734265734267,-0.03041958041958042,0.6569504222687944
new_theory_payoff_new_true,0.32727272727272727,-0.1027972027972028,0.6855546381557988
belief_strength_min,0.2423076923076923,-0.011538461538461539,0.5972829560108359
belief_strength_max,0.2506993006993007,-0.001048951048951049,0.6065546653239181
h_index_min,0.279020979020979,0.02097902097902098,0.6446127913870233
h_index_max,0.2611888111888112,-0.015734265734265736,0.619207600515128
