parameter,mu_star,mu,sigma
num_agents,0.5625,-0.5625,0.7180703308172536
old_theory_payoff,0.0,0.0,0.0
new_theory_payoff_old_true,0.0,0.0,0.0
new_theory_payoff_new_true,0.375,-0.375,0.75
belief_strength_min,0.375,0.375,0.75
belief_strength_max,0.0,0.0,0.0
h_index_min,0.1875,0.1875,0.375
h_index_max,0.375,-0.375,0.75
