parameter,mu_star,mu,sigma
num_agents,228.225,228.225,348.59540480333357
old_theory_payoff,224.7,223.95,352.183581389025
new_theory_payoff_old_true,297.675,-2.475,489.76474582190986
new_theory_payoff_new_true,223.95,-223.2,349.9353868930663
belief_strength_min,224.625,70.875,421.8941291959394
belief_strength_max,154.725,3.675,348.3350488394758
h_index_min,75.225,74.325,233.73180410461902
h_index_max,81.075,70.125,238.22553651949238
