parameter,mu_star,mu,sigma
num_agents,80.98426573426573,12.827622377622378,221.18065488776384
old_theory_payoff,92.57307692307693,17.233216783216783,240.05701732436106
new_theory_payoff_old_true,92.63706293706294,-7.248251748251748,241.13256509650543
new_theory_payoff_new_true,85.0951048951049,16.91118881118881,227.53422107100377
belief_strength_min,84.5034965034965,2.704195804195804,229.33795972818453
belief_strength_max,94.59125874125874,-3.007342657342657,244.86235671908935
h_index_min,86.84895104895105,-0.9482517482517483,233.25231874972084
h_index_max,88.98041958041958,-7.934265734265734,235.79459957123677
