size,network_type,success_rate,avg_time
3,cycle,0.494,8.990485829959514
3,wheel,0.4935,9.303748733535967
3,complete,0.4919,9.040048790404553
4,cycle,0.5006,11.602676787854575
4,wheel,0.56,9.297857142857143
4,complete,0.563,9.264298401420959
5,cycle,0.3985,15.916687578419072
5,wheel,0.5645,10.388662533215236
5,complete,0.6075,9.081975308641976
6,cycle,0.3475,18.29179856115108
6,wheel,0.5203,13.088026138766097
6,complete,0.6358,8.578483799937088
7,cycle,0.3218,22.8822249844624
7,wheel,0.4949,14.95877955142453
7,complete,0.6439,8.062121447429725
8,cycle,0.286,25.78006993006993
8,wheel,0.4704,15.982355442176871
8,complete,0.6469,7.634101097542124
9,cycle,0.2536,29.76577287066246
9,wheel,0.4638,17.490081931867184
9,complete,0.6494,7.310748383122883
10,cycle,0.2352,33.17602040816327
10,wheel,0.448,18.740401785714287
10,complete,0.649,6.845608628659476
11,cycle,0.2161,35.98287829708468
11,wheel,0.4297,20.3346520828485
11,complete,0.6525,6.613333333333333
12,cycle,0.1941,39.75785677485832
12,wheel,0.413,20.69370460048426
12,complete,0.6447,6.424848766868311
