size,network_type,success_rate,avg_steps
2,cycle,0.5302,59.89437947944172
2,wheel,0.5331,60.16432189082724
2,complete,0.5195,60.50490856592878
2,bipartite,0.531,60.850094161958566
2,cliques,0.5298,60.22178180445451
4,cycle,0.7449,62.293999194522755
4,wheel,0.6701,35.91792269810476
4,complete,0.6798,35.72433068549574
4,bipartite,0.7459,61.16222013674755
4,cliques,0.7832,102.12755362614914
6,cycle,0.8986,89.02949031827286
6,wheel,0.8259,50.45187068652379
6,complete,0.7404,26.222717450027012
6,bipartite,0.8524,52.737329892069454
6,cliques,0.8755,89.7091947458595
8,cycle,0.9574,107.71746396490495
8,wheel,0.9096,61.49032541776605
8,complete,0.7822,21.220787522372795
8,bipartite,0.8974,44.33418765322041
8,cliques,0.9167,79.86625940874877
10,cycle,0.9871,123.60530847938405
10,wheel,0.9505,66.03987375065755
10,complete,0.8103,17.67370109835863
10,bipartite,0.9216,38.83582899305556
10,cliques,0.9694,102.58221580358985
12,cycle,0.9962,135.99979923710097
12,wheel,0.9708,72.31499793984342
12,complete,0.8278,15.581179028750906
12,bipartite,0.9353,34.29926226879076
12,cliques,0.9824,91.63568811074919
