size,network_type,success_rate,avg_steps
2,cycle,0.533,59.60225140712946
2,wheel,0.537,60.76163873370577
2,complete,0.526,60.12357414448669
2,bipartite,0.511,61.35812133072407
2,cliques,0.523,60.25430210325048
4,cycle,0.752,63.6436170212766
4,wheel,0.701,36.33380884450784
4,complete,0.705,36.52482269503546
4,bipartite,0.74,66.08918918918918
4,cliques,0.771,101.50324254215305
6,cycle,0.895,86.35418994413408
6,wheel,0.845,51.2
6,complete,0.768,26.604166666666668
6,bipartite,0.848,52.63443396226416
6,cliques,0.868,82.5552995391705
8,cycle,0.957,107.34064785788924
8,wheel,0.902,58.54434589800444
8,complete,0.775,20.446451612903225
8,bipartite,0.902,43.98226164079823
8,cliques,0.91,81.98681318681318
10,cycle,0.992,123.88407258064515
10,wheel,0.951,67.78969505783385
10,complete,0.814,18.12899262899263
10,bipartite,0.939,38.11927582534612
10,cliques,0.973,101.54573484069888
12,cycle,0.997,136.15145436308927
12,wheel,0.965,70.44248704663212
12,complete,0.82,15.518292682926829
12,bipartite,0.944,34.128177966101696
12,cliques,0.987,98.39412360688956
6,custom,0.874,114.53432494279176
