size,network_type,success_rate,avg_steps
2,cycle,0.46,66.65217391304348
2,wheel,0.56,59.607142857142854
2,complete,0.52,57.94230769230769
4,cycle,0.72,59.09722222222222
4,wheel,0.74,32.432432432432435
4,complete,0.62,34.016129032258064
6,cycle,0.89,85.98876404494382
6,wheel,0.82,53.91463414634146
6,complete,0.71,22.929577464788732
8,cycle,0.96,98.625
8,wheel,0.97,58.45360824742268
8,complete,0.92,15.5
10,cycle,1.0,88.2
10,wheel,0.98,46.63265306122449
10,complete,0.87,11.471264367816092
12,cycle,1.0,83.89
12,wheel,0.97,49.78350515463917
12,complete,0.89,11.112359550561798
