size,network_type,success_rate,avg_steps
2,cycle,0.531,60.46421845574388
2,wheel,0.5255,59.075166508087534
2,complete,0.525,58.54952380952381
4,cycle,0.749,62.94926568758344
4,wheel,0.6995,35.995711222301644
4,complete,0.681,36.344346549192366
6,cycle,0.893,86.72676371780516
6,wheel,0.8295,48.61181434599156
6,complete,0.752,26.133643617021278
8,cycle,0.9615,107.65678627145085
8,wheel,0.9085,60.652724270776005
8,complete,0.784,21.00127551020408
10,cycle,0.9865,124.4794728839331
10,wheel,0.944,66.60275423728814
10,complete,0.811,17.727496917385942
12,cycle,0.994,133.9582494969819
12,wheel,0.9715,71.5362840967576
12,complete,0.835,15.524550898203593
