size,network_type,success_rate,avg_steps
2,cycle,0.515,59.88543689320388
2,wheel,0.5346,59.41376730265619
2,complete,0.537,59.96312849162011
4,cycle,0.7448,62.61305048335124
4,wheel,0.672,35.705059523809524
4,complete,0.6816,35.983861502347416
6,cycle,0.894,89.88344519015659
6,wheel,0.8266,50.52189692717155
6,complete,0.7452,26.234836285560924
8,cycle,0.9588,108.85398414685022
8,wheel,0.9102,59.689299055152716
8,complete,0.7802,21.207382722378878
10,cycle,0.986,123.21703853955376
10,wheel,0.9542,67.2559211905261
10,complete,0.8086,17.76675735839723
12,cycle,0.9944,135.32582461786
12,wheel,0.9702,71.0909090909091
12,complete,0.8228,15.535731648031113
