size,network_type,success_rate,avg_steps
2,cycle,0.453,58.567328918322296
2,wheel,0.493,61.697768762677484
2,complete,0.49,58.46326530612245
4,cycle,0.71,47.29577464788732
4,wheel,0.628,29.61464968152866
4,complete,0.613,28.753670473083197
6,cycle,0.878,72.96127562642369
6,wheel,0.775,38.62451612903226
6,complete,0.691,20.096960926193923
8,cycle,0.962,87.15072765072765
8,wheel,0.881,47.01475595913735
8,complete,0.733,15.413369713506139
10,cycle,0.988,95.78643724696356
10,wheel,0.922,53.649674620390456
10,complete,0.773,12.752910737386804
12,cycle,0.991,113.08173562058526
12,wheel,0.945,52.837037037037035
12,complete,0.796,10.956030150753769
