parameter,mu_star,mu,sigma
num_agents,1.3125,-1.3125,2.625
old_theory_payoff,2.4375,-2.4375,3.5377429245212264
new_theory_payoff_old_true,2.25,1.875,4.264680527307995
new_theory_payoff_new_true,21.1875,21.1875,23.013922416659007
belief_strength_min,175.875,172.875,344.7942321153299
belief_strength_max,3.9375,-0.1875,6.433554616228886
h_index_min,0.5625,-0.5625,1.125
h_index_max,14.4375,8.4375,25.510108290636477
