parameter,mu_star,mu,sigma
num_agents,0.36818181818181817,-0.015734265734265736,0.7333688139276078
old_theory_payoff,0.2465034965034965,-0.022027972027972027,0.5969877226151
new_theory_payoff_old_true,0.28426573426573426,0.0073426573426573424,0.6406228926168231
new_theory_payoff_new_true,0.3083916083916084,-0.05244755244755245,0.6692351259146557
belief_strength_min,0.25804195804195806,0.01888111888111888,0.612080880321193
belief_strength_max,0.2895104895104895,-0.006293706293706294,0.6473623257826241
h_index_min,0.3146853146853147,-0.012587412587412588,0.6746839837972979
h_index_max,0.27062937062937065,0.01048951048951049,0.6275327713287102
