parameter,mu_star,mu,sigma
num_agents,0.3723776223776224,-0.003146853146853147,0.7399470224624229
old_theory_payoff,0.41643356643356644,0.09545454545454546,0.7775497743826253
new_theory_payoff_old_true,0.3765734265734266,-0.0493006993006993,0.7415014769139792
new_theory_payoff_new_true,0.36923076923076925,-0.03146853146853147,0.7312473113187224
belief_strength_min,0.35244755244755244,-0.033566433566433566,0.7148087495628107
belief_strength_max,0.343006993006993,0.003146853146853147,0.7083984180812951
