parameter,mu_star,mu,sigma
num_agents,0.28321678321678323,0.02727272727272727,0.6345206861449961
old_theory_payoff,0.29895104895104896,-0.0493006993006993,0.6521883549632349
new_theory_payoff_old_true,0.30734265734265737,0.015734265734265736,0.6598589628511773
new_theory_payoff_new_true,0.28321678321678323,-0.004195804195804196,0.6263499847079979
belief_strength_min,0.2937062937062937,-0.03566433566433566,0.6464084782744559
belief_strength_max,0.2674825174825175,0.003146853146853147,0.6117207437384429
h_index_min,0.343006993006993,0.03041958041958042,0.696530893708653
h_index_max,0.27062937062937065,0.006293706293706294,0.6149077933219491
