parameter,mu_star,mu,sigma
num_agents,0.33986013986013985,0.002097902097902098,0.7022591128281778
old_theory_payoff,0.38706293706293704,0.045104895104895106,0.7512667799762613
new_theory_payoff_old_true,0.3534965034965035,-0.057692307692307696,0.7215012091664885
new_theory_payoff_new_true,0.38916083916083916,-0.001048951048951049,0.7536667725480608
belief_strength_min,0.3503496503496504,-0.014685314685314685,0.7154466237412095
belief_strength_max,0.3723776223776224,-0.0073426573426573424,0.7388517390014163
