simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,39,Correct Theory
2,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
3,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,71,Correct Theory
4,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
5,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
6,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
7,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,53,Correct Theory
8,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,39,Correct Theory
9,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,64,Correct Theory
10,cycle,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,153,Correct Theory
