simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,61,Correct Theory
2,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,86,Correct Theory
3,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,341,Correct Theory
4,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
5,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,140,Correct Theory
6,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,88,Correct Theory
7,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,129,Correct Theory
8,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,68,Correct Theory
9,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,87,Correct Theory
10,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
11,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,92,Correct Theory
12,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Correct Theory
13,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,70,Correct Theory
14,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,94,Correct Theory
15,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
16,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,71,Correct Theory
17,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,59,Correct Theory
18,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,91,Correct Theory
19,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
20,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,268,Correct Theory
21,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,91,Correct Theory
22,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
23,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,55,Correct Theory
24,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,248,Correct Theory
25,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,81,Correct Theory
26,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,100,Correct Theory
27,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
28,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,88,Correct Theory
29,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,122,Correct Theory
30,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,79,Correct Theory
31,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,68,Correct Theory
32,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,87,Correct Theory
33,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
34,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
35,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,89,Correct Theory
36,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,112,Correct Theory
37,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
38,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
39,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,78,Correct Theory
40,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,64,Correct Theory
41,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,70,Correct Theory
42,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
43,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,85,Correct Theory
44,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,38,Correct Theory
45,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
46,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
47,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,81,Correct Theory
48,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,224,Correct Theory
49,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
50,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,122,Correct Theory
51,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,65,Correct Theory
52,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,78,Correct Theory
53,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,94,Correct Theory
54,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,15,Old Theory
55,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,300,Correct Theory
56,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,7,Old Theory
57,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
58,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,465,Correct Theory
59,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,234,Correct Theory
60,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,89,Correct Theory
61,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,53,Correct Theory
62,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
63,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,91,Correct Theory
64,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,143,Correct Theory
65,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,47,Correct Theory
66,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,398,Correct Theory
67,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
68,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,89,Correct Theory
69,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,71,Correct Theory
70,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
71,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,117,Correct Theory
72,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,17,Old Theory
73,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,79,Correct Theory
74,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,65,Correct Theory
75,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,72,Correct Theory
76,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,102,Correct Theory
77,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,59,Correct Theory
78,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,89,Correct Theory
79,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,74,Correct Theory
80,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
81,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,55,Correct Theory
82,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,49,Correct Theory
83,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,94,Correct Theory
84,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,54,Correct Theory
85,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,123,Correct Theory
86,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,100,Correct Theory
87,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,96,Correct Theory
88,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,38,Correct Theory
89,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,128,Correct Theory
90,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,107,Correct Theory
91,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,104,Correct Theory
92,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,84,Correct Theory
93,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,221,Correct Theory
94,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,84,Correct Theory
95,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,88,Correct Theory
96,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,155,Correct Theory
97,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,67,Correct Theory
98,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
99,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,70,Correct Theory
100,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,89,Correct Theory
