simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
2,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,134,Correct Theory
3,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,90,Correct Theory
4,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,88,Correct Theory
5,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,68,Correct Theory
6,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,77,Correct Theory
7,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,160,Correct Theory
8,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,64,Correct Theory
9,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,79,Correct Theory
10,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,96,Correct Theory
11,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,55,Correct Theory
12,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
13,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,64,Correct Theory
14,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,41,Correct Theory
15,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,209,Correct Theory
16,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
17,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,52,Correct Theory
18,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,66,Correct Theory
19,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,117,Correct Theory
20,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,210,Correct Theory
21,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,66,Correct Theory
22,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,91,Correct Theory
23,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
24,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,72,Correct Theory
25,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,84,Correct Theory
26,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
27,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,11,Old Theory
28,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,106,Correct Theory
29,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,292,Correct Theory
30,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,265,Correct Theory
31,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,73,Correct Theory
32,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,87,Correct Theory
33,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,251,Correct Theory
34,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
35,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,277,Correct Theory
36,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,135,Correct Theory
37,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,104,Correct Theory
38,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,128,Correct Theory
39,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
40,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,105,Correct Theory
41,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,70,Correct Theory
42,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,399,Correct Theory
43,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,79,Correct Theory
44,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
45,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
46,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,148,Correct Theory
47,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,41,Correct Theory
48,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,77,Correct Theory
49,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,83,Correct Theory
50,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,99,Correct Theory
51,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,199,Correct Theory
52,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,47,Correct Theory
53,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
54,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,74,Correct Theory
55,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,65,Correct Theory
56,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,64,Correct Theory
57,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,99,Correct Theory
58,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,92,Correct Theory
59,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
60,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,202,Correct Theory
61,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,125,Correct Theory
62,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,82,Correct Theory
63,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,146,Correct Theory
64,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,297,Correct Theory
65,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,318,Correct Theory
66,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
67,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,101,Correct Theory
68,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,47,Correct Theory
69,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,59,Correct Theory
70,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,257,Correct Theory
71,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,151,Correct Theory
72,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,54,Correct Theory
73,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,84,Correct Theory
74,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,73,Correct Theory
75,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,203,Correct Theory
76,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,60,Correct Theory
77,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,170,Correct Theory
78,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,96,Correct Theory
79,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
80,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
81,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
82,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,41,Correct Theory
83,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,81,Correct Theory
84,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,225,Correct Theory
85,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,395,Correct Theory
86,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,145,Correct Theory
87,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,82,Correct Theory
88,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
89,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,331,Correct Theory
90,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,96,Correct Theory
91,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,264,Correct Theory
92,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,246,Correct Theory
93,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,38,Correct Theory
94,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,201,Correct Theory
95,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,61,Correct Theory
96,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,169,Correct Theory
97,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,126,Correct Theory
98,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,611,Correct Theory
99,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,98,Correct Theory
100,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,94,Correct Theory
101,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
102,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,68,Correct Theory
103,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,109,Correct Theory
104,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,71,Correct Theory
105,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,75,Correct Theory
106,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,76,Correct Theory
107,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
108,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
109,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,64,Correct Theory
110,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,54,Correct Theory
111,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,132,Correct Theory
