simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Old Theory
2,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
3,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
4,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,175,Correct Theory
5,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,26,Correct Theory
6,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
7,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
8,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
9,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,49,Correct Theory
10,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
11,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
12,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
13,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,39,Correct Theory
14,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
15,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,67,Correct Theory
16,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
17,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,4,Old Theory
18,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,29,Correct Theory
19,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
20,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,32,Correct Theory
21,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,91,Correct Theory
22,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
23,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
24,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Old Theory
25,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Old Theory
26,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
27,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,74,Correct Theory
28,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,39,Old Theory
29,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,78,Correct Theory
30,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,68,Correct Theory
31,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,66,Correct Theory
32,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
33,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
34,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
35,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
36,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
37,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
38,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,114,Correct Theory
39,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
40,cycle,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,158,Correct Theory
