simulation_id,network_type,converged,step,theory,num_agents,true_probs_old,true_probs_new
126,cycle,True,10,New Theory,10,0.2,0.8
127,cycle,True,8,New Theory,10,0.2,0.8
128,cycle,True,1,Old Theory,10,0.2,0.8
129,cycle,True,8,New Theory,10,0.2,0.8
130,cycle,True,8,New Theory,10,0.2,0.8
131,cycle,True,6,New Theory,10,0.2,0.8
132,cycle,True,3,Old Theory,10,0.2,0.8
133,cycle,True,7,New Theory,10,0.2,0.8
134,cycle,True,6,New Theory,10,0.2,0.8
135,cycle,True,2,Old Theory,10,0.2,0.8
136,cycle,True,1,Old Theory,10,0.2,0.8
137,cycle,True,1,Old Theory,10,0.2,0.8
138,cycle,True,12,New Theory,10,0.2,0.8
139,cycle,True,7,New Theory,10,0.2,0.8
140,cycle,True,2,Old Theory,10,0.2,0.8
141,cycle,True,3,Old Theory,10,0.2,0.8
142,cycle,True,12,New Theory,10,0.2,0.8
143,cycle,True,7,New Theory,10,0.2,0.8
144,cycle,True,7,New Theory,10,0.2,0.8
145,cycle,True,3,Old Theory,10,0.2,0.8
146,cycle,True,7,New Theory,10,0.2,0.8
147,cycle,True,2,Old Theory,10,0.2,0.8
148,cycle,True,1,Old Theory,10,0.2,0.8
149,cycle,True,8,New Theory,10,0.2,0.8
150,cycle,True,7,New Theory,10,0.2,0.8
151,cycle,True,1,Old Theory,10,0.2,0.8
152,cycle,True,6,New Theory,10,0.2,0.8
153,cycle,True,11,New Theory,10,0.2,0.8
154,cycle,True,3,Old Theory,10,0.2,0.8
155,cycle,True,1,Old Theory,10,0.2,0.8
156,cycle,True,1,Old Theory,10,0.2,0.8
157,cycle,True,8,New Theory,10,0.2,0.8
158,cycle,True,7,New Theory,10,0.2,0.8
159,cycle,True,10,New Theory,10,0.2,0.8
160,cycle,True,2,Old Theory,10,0.2,0.8
161,cycle,True,1,Old Theory,10,0.2,0.8
162,cycle,True,10,New Theory,10,0.2,0.8
163,cycle,True,8,New Theory,10,0.2,0.8
164,cycle,True,3,Old Theory,10,0.2,0.8
165,cycle,True,9,New Theory,10,0.2,0.8
166,cycle,True,5,New Theory,10,0.2,0.8
167,cycle,True,8,New Theory,10,0.2,0.8
168,cycle,True,6,New Theory,10,0.2,0.8
169,cycle,True,3,Old Theory,10,0.2,0.8
170,cycle,True,8,New Theory,10,0.2,0.8
171,cycle,True,3,Old Theory,10,0.2,0.8
172,cycle,True,11,New Theory,10,0.2,0.8
173,cycle,True,9,New Theory,10,0.2,0.8
174,cycle,True,1,Old Theory,10,0.2,0.8
175,cycle,True,7,New Theory,10,0.2,0.8
176,cycle,True,7,New Theory,10,0.2,0.8
177,cycle,True,8,New Theory,10,0.2,0.8
178,cycle,True,8,New Theory,10,0.2,0.8
179,cycle,True,9,New Theory,10,0.2,0.8
180,cycle,True,3,Old Theory,10,0.2,0.8
181,cycle,True,6,New Theory,10,0.2,0.8
182,cycle,True,6,New Theory,10,0.2,0.8
183,cycle,True,9,New Theory,10,0.2,0.8
184,cycle,True,9,New Theory,10,0.2,0.8
185,cycle,True,9,New Theory,10,0.2,0.8
186,cycle,True,5,Old Theory,10,0.2,0.8
187,cycle,True,3,Old Theory,10,0.2,0.8
188,cycle,True,3,Old Theory,10,0.2,0.8
189,cycle,True,1,Old Theory,10,0.2,0.8
190,cycle,True,6,New Theory,10,0.2,0.8
191,cycle,True,8,New Theory,10,0.2,0.8
192,cycle,True,3,Old Theory,10,0.2,0.8
193,cycle,True,2,Old Theory,10,0.2,0.8
194,cycle,True,9,New Theory,10,0.2,0.8
195,cycle,True,8,New Theory,10,0.2,0.8
196,cycle,True,9,New Theory,10,0.2,0.8
197,cycle,True,7,New Theory,10,0.2,0.8
198,cycle,True,10,New Theory,10,0.2,0.8
199,cycle,True,9,New Theory,10,0.2,0.8
200,cycle,True,1,Old Theory,10,0.2,0.8
201,cycle,True,9,New Theory,10,0.2,0.8
202,cycle,True,1,Old Theory,10,0.2,0.8
203,cycle,True,8,New Theory,10,0.2,0.8
204,cycle,True,3,Old Theory,10,0.2,0.8
205,cycle,True,11,New Theory,10,0.2,0.8
206,cycle,True,12,New Theory,10,0.2,0.8
207,cycle,True,1,Old Theory,10,0.2,0.8
208,cycle,True,9,New Theory,10,0.2,0.8
209,cycle,True,2,Old Theory,10,0.2,0.8
210,cycle,True,1,Old Theory,10,0.2,0.8
211,cycle,True,1,Old Theory,10,0.2,0.8
212,cycle,True,1,Old Theory,10,0.2,0.8
213,cycle,True,8,New Theory,10,0.2,0.8
214,cycle,True,11,New Theory,10,0.2,0.8
215,cycle,True,7,New Theory,10,0.2,0.8
216,cycle,True,9,New Theory,10,0.2,0.8
217,cycle,True,5,New Theory,10,0.2,0.8
218,cycle,True,8,New Theory,10,0.2,0.8
219,cycle,True,8,New Theory,10,0.2,0.8
220,cycle,True,3,Old Theory,10,0.2,0.8
221,cycle,True,11,New Theory,10,0.2,0.8
222,cycle,True,11,New Theory,10,0.2,0.8
223,cycle,True,9,New Theory,10,0.2,0.8
224,cycle,True,9,New Theory,10,0.2,0.8
225,cycle,True,8,New Theory,10,0.2,0.8
226,cycle,True,9,New Theory,10,0.2,0.8
227,cycle,True,7,New Theory,10,0.2,0.8
228,cycle,True,8,New Theory,10,0.2,0.8
229,cycle,True,7,New Theory,10,0.2,0.8
230,cycle,True,1,Old Theory,10,0.2,0.8
231,cycle,True,9,New Theory,10,0.2,0.8
232,cycle,True,7,New Theory,10,0.2,0.8
233,cycle,True,7,New Theory,10,0.2,0.8
234,cycle,True,2,Old Theory,10,0.2,0.8
235,cycle,True,2,Old Theory,10,0.2,0.8
236,cycle,True,8,New Theory,10,0.2,0.8
237,cycle,True,11,New Theory,10,0.2,0.8
238,cycle,True,8,New Theory,10,0.2,0.8
239,cycle,True,8,New Theory,10,0.2,0.8
240,cycle,True,1,Old Theory,10,0.2,0.8
241,cycle,True,1,Old Theory,10,0.2,0.8
242,cycle,True,6,New Theory,10,0.2,0.8
243,cycle,True,2,Old Theory,10,0.2,0.8
244,cycle,True,10,New Theory,10,0.2,0.8
245,cycle,True,13,New Theory,10,0.2,0.8
246,cycle,True,12,New Theory,10,0.2,0.8
247,cycle,True,9,New Theory,10,0.2,0.8
248,cycle,True,2,Old Theory,10,0.2,0.8
249,cycle,True,1,Old Theory,10,0.2,0.8
250,cycle,True,11,New Theory,10,0.2,0.8
