simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,32,Correct Theory
2,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,26,Correct Theory
3,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
4,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
5,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
6,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,20,Correct Theory
7,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,52,Correct Theory
8,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
9,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,191,Correct Theory
10,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,25,Correct Theory
11,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,23,Correct Theory
12,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,34,Correct Theory
13,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Old Theory
14,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
15,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,15,Old Theory
16,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
17,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,67,Correct Theory
18,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
19,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
20,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,100,Correct Theory
21,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Old Theory
22,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,53,Correct Theory
23,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,59,Correct Theory
24,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,60,Correct Theory
25,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
26,wheel,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
