parameter,mu_star,mu,sigma
num_agents,1.5,1.5,0.0
old_theory_payoff,0.0,0.0,0.0
new_theory_payoff_old_true,1.5,1.5,0.0
new_theory_payoff_new_true,1.125,-0.375,1.590990257669732
belief_strength_min,1.5,-1.5,0.0
belief_strength_max,0.375,-0.375,0.5303300858899106
