parameter,mu_star,mu,sigma
num_agents,4.125,3.75,7.5249584716462055
old_theory_payoff,3.75,-2.625,6.378675411086537
new_theory_payoff_old_true,190.125,-189.375,371.3050464240959
new_theory_payoff_new_true,3.5625,-0.5625,5.524094948496089
belief_strength_min,5.25,-4.875,6.94172168845741
belief_strength_max,3.9375,-0.9375,6.31590254832989
h_index_min,4.3125,2.4375,7.045610335520976
h_index_max,6.5625,5.8125,11.673286812205035
