parameter,mu_star,mu,sigma
num_agents,0.36818181818181817,-0.011538461538461539,0.7345202779942485
old_theory_payoff,0.3723776223776224,-0.015734265734265736,0.7397861844845381
new_theory_payoff_old_true,0.406993006993007,-0.023076923076923078,0.772418652873587
new_theory_payoff_new_true,0.4206293706293706,0.057692307692307696,0.784284266037996
belief_strength_min,0.3304195804195804,-0.043006993006993004,0.6969973967666561
belief_strength_max,0.33986013986013985,0.01048951048951049,0.7055416187087373
