parameter,mu_star,mu,sigma
num_agents,0.2527972027972028,-0.00944055944055944,0.6103665338430164
old_theory_payoff,0.2958041958041958,0.05874125874125874,0.6544213634306169
new_theory_payoff_old_true,0.3104895104895105,0.02937062937062937,0.6706462629885662
new_theory_payoff_new_true,0.35244755244755244,0.0,0.7144957674337002
belief_strength_min,0.28426573426573426,0.011538461538461539,0.6393299053386858
belief_strength_max,0.2853146853146853,0.002097902097902098,0.6412761405517714
h_index_min,0.28426573426573426,0.001048951048951049,0.6418926772327527
h_index_max,0.2748251748251748,0.002097902097902098,0.6288710407706544
