parameter,mu_star,mu,sigma
num_agents,0.33403361344537813,-0.018907563025210083,0.6968620790528236
old_theory_payoff,0.39915966386554624,0.058823529411764705,0.7638661277348108
new_theory_payoff_old_true,0.3539915966386555,0.022058823529411766,0.7185091249203784
new_theory_payoff_new_true,0.4065126050420168,-0.05567226890756303,0.7697602833637357
belief_strength_min,0.3581932773109244,-0.015756302521008403,0.7241430991494587
belief_strength_max,0.3392857142857143,-0.0031512605042016808,0.702185937407367
