parameter,mu_star,mu,sigma
num_agents,0.28426573426573426,-0.005244755244755245,0.6455436899987835
old_theory_payoff,0.29685314685314684,0.003146853146853147,0.6552475311998078
new_theory_payoff_old_true,0.28426573426573426,0.015734265734265736,0.6453729834985515
new_theory_payoff_new_true,0.33146853146853145,0.008391608391608392,0.6931786993071717
belief_strength_min,0.3104895104895105,0.03146853146853147,0.6740663820824461
belief_strength_max,0.3167832167832168,-0.004195804195804196,0.6794424437994336
h_index_min,0.27797202797202797,-0.013636363636363636,0.6306032253386324
h_index_max,0.27692307692307694,-0.004195804195804196,0.6350934695841361
