parameter,mu_star,mu,sigma
num_agents,0.31153846153846154,-0.01993006993006993,0.6727525053675283
old_theory_payoff,0.2863636363636364,0.0073426573426573424,0.6406228926168235
new_theory_payoff_old_true,0.27797202797202797,-0.001048951048951049,0.638200061366911
new_theory_payoff_new_true,0.27062937062937065,-0.033566433566433566,0.6254627481248487
belief_strength_min,0.2916083916083916,0.044055944055944055,0.6458900854387826
belief_strength_max,0.28216783216783214,-0.001048951048951049,0.6382000613669114
h_index_min,0.2863636363636364,-0.015734265734265736,0.644151113930358
h_index_max,0.29055944055944055,-0.013636363636363636,0.6478574313357057
